;wikipage_en;wikipage_fr;wikipage_ht;len_wiki_en;len_wiki_fr;len_wiki_ht;;;;;;wiki_url;len
Q12890330;;;https://ht.wikipedia.org/wiki/Elvire_Maurouard;#N/A;#N/A;3895;;;;;;https://fr.wikipedia.org/wiki/Jean-Claude_Fignol%C3%A9;4301
Q3173661;https://en.wikipedia.org/wiki/Jean_Metellus;https://fr.wikipedia.org/wiki/Jean_M%C3%A9tellus;https://ht.wikipedia.org/wiki/Jean_Metellus;2833;8799;4450;;;;;;https://ht.wikipedia.org/wiki/Jean-Claude_Fignol%C3%A9;2785
Q5370358;https://en.wikipedia.org/wiki/Emeline_Michel;https://fr.wikipedia.org/wiki/%C3%89meline_Michel;https://ht.wikipedia.org/wiki/Emeline_Michel;2034;13575;3647;;;;;;https://ht.wikipedia.org/wiki/Jean_Florival;789
Q12891863;;https://fr.wikipedia.org/wiki/Jean-Euph%C3%A8le_Milc%C3%A9;https://ht.wikipedia.org/wiki/Jean-Euph%C3%A8le_Milc%C3%A9;#N/A;6150;2145;;;;;;https://fr.wikipedia.org/wiki/Haveson_Florvil;10251
Q6522408;https://en.wikipedia.org/wiki/Lenelle_Mo%C3%AFse;;https://ht.wikipedia.org/wiki/Lenelle_Mo%C3%AFse;4600;#N/A;1500;;;;;;https://ht.wikipedia.org/wiki/D%C3%A9ita;3185
Q6836494;https://en.wikipedia.org/wiki/Michel_Monnin;;;1205;#N/A;#N/A;;;;;;https://ht.wikipedia.org/wiki/Franck_Fouch%C3%A9;820
Q12896340;;;https://ht.wikipedia.org/wiki/Roland_Morisseau;#N/A;#N/A;737;;;;;;https://en.wikipedia.org/wiki/Frank%C3%A9tienne;4446
Q1363088;https://en.wikipedia.org/wiki/F%C3%A9lix_Morisseau-Leroy;https://fr.wikipedia.org/wiki/F%C3%A9lix_Morisseau-Leroy;https://ht.wikipedia.org/wiki/Felix_Morisseau-Leroy;8296;5539;1838;;;;;;https://fr.wikipedia.org/wiki/Frank%C3%A9tienne;14012
Q55217260;;;;#N/A;#N/A;#N/A;;;;;;https://ht.wikipedia.org/wiki/Frank%C3%A9tienne;3218
Q3161308;https://en.wikipedia.org/wiki/James_No%C3%ABl_(poet);https://fr.wikipedia.org/wiki/James_No%C3%ABl;https://ht.wikipedia.org/wiki/James_No%C3%ABl;2784;12200;4469;;;;;;https://ht.wikipedia.org/wiki/Emilie_Franz;741
Q286293;https://en.wikipedia.org/wiki/%C3%89mile_Ollivier;https://fr.wikipedia.org/wiki/%C3%89mile_Ollivier_(homme_politique);;18163;22479;#N/A;;;;;;https://ht.wikipedia.org/wiki/Genevi%C3%A8ve_Gaillard-Vant%C3%A9;890
Q3280752;;https://fr.wikipedia.org/wiki/Makenzy_Orcel;https://ht.wikipedia.org/wiki/Makenzy_Orcel;#N/A;5100;3243;;;;;;https://en.wikipedia.org/wiki/Jean-Claude_Garoute;4029
Q55217189;;https://fr.wikipedia.org/wiki/Il%C3%A9us_Papillon;https://ht.wikipedia.org/wiki/Il%C3%A9us_Papillon;#N/A;4022;3860;;;;;;https://fr.wikipedia.org/wiki/Jean-Claude_Garoute;16933
Q12894055;;;https://ht.wikipedia.org/wiki/Margaret_Papillon;#N/A;#N/A;1104;;;;;;https://ht.wikipedia.org/wiki/Jean-Claude_Garoute_(Tiga);1282
Q18607375;;;https://ht.wikipedia.org/wiki/Roland_Paret;#N/A;#N/A;1186;;;;;;https://en.wikipedia.org/wiki/Mona_Gu%C3%A9rin;2977
Q12890543;;;https://ht.wikipedia.org/wiki/Fabienne_Pasquet;#N/A;#N/A;952;;;;;;https://ht.wikipedia.org/wiki/Mona_Gu%C3%A9rin;2810
Q12891869;;;https://ht.wikipedia.org/wiki/Jean-Marc_Pasquet;#N/A;#N/A;737;;;;;;https://ht.wikipedia.org/wiki/Maude_Heurtelou;8981
Q12888685;;;https://ht.wikipedia.org/wiki/Cauvin_Paul;#N/A;#N/A;829;;;;;;https://fr.wikipedia.org/wiki/Lawrence_Hill_(basket-ball);3222
Q3496855;;https://fr.wikipedia.org/wiki/Stanley_P%C3%A9an;https://ht.wikipedia.org/wiki/Stanley_P%C3%A9an;#N/A;14474;3516;;;;;;https://en.wikipedia.org/wiki/La%C3%ABnnec_Hurbon;4622
Q2852916;;https://fr.wikipedia.org/wiki/Anthony_Phelps;https://ht.wikipedia.org/wiki/Anthony_Phelps;#N/A;16675;13349;;;;;;https://ht.wikipedia.org/wiki/La%C3%ABnnec_Hurbon;1788
Q3045950;https://en.wikipedia.org/wiki/Ren%C3%A9_Philoct%C3%A8te;https://fr.wikipedia.org/wiki/Ren%C3%A9_Philoct%C3%A8te;https://ht.wikipedia.org/wiki/Ren%C3%A9_Philoct%C3%A8te;1651;5570;3188;;;;;;https://ht.wikipedia.org/wiki/Joanne_Hyppolite;755
Q2977119;;https://fr.wikipedia.org/wiki/Claude_C._Pierre;https://ht.wikipedia.org/wiki/Claude_Pierre;#N/A;3999;2772;;;;;;https://en.wikipedia.org/wiki/Ida_Faubert;9994
Q55217188;;;;#N/A;#N/A;#N/A;;;;;;https://fr.wikipedia.org/wiki/Ida_Faubert;3912
Q12895266;https://en.wikipedia.org/wiki/Paulette_Poujol-Oriol;;https://ht.wikipedia.org/wiki/Paulette_Poujol_Oriol;8460;#N/A;1566;;;;;;https://ht.wikipedia.org/wiki/Ida_Faubert;3223
Q3053007;https://en.wikipedia.org/wiki/Emmelie_Proph%C3%A8te;https://fr.wikipedia.org/wiki/Emmelie_Proph%C3%A8te;https://ht.wikipedia.org/wiki/Emmelie_Proph%C3%A8te;2360;4337;2597;;;;;;https://fr.wikipedia.org/wiki/Jean_Emmanuel_Jacquet;5144
Q2396474;;https://fr.wikipedia.org/wiki/Guy_Junior_R%C3%A9gis;https://ht.wikipedia.org/wiki/Guy_Junior_R%C3%A9gis;#N/A;15312;2706;;;;;;https://fr.wikipedia.org/wiki/Yanick_Jean;5964
Q2837289;;https://fr.wikipedia.org/wiki/Alix_Renaud;https://ht.wikipedia.org/wiki/Alix_Renaud;#N/A;13126;3952;;;;;;https://en.wikipedia.org/wiki/Jean_Price-Mars;7853
Q79392504;;;;#N/A;#N/A;#N/A;;;;;;https://fr.wikipedia.org/wiki/Jean_Price_Mars;9407
Q12894134;https://en.wikipedia.org/wiki/Marl%C3%A8ne_Rigaud_Apollon;;https://ht.wikipedia.org/wiki/Marl%C3%A8ne_Rigaud_Apollon;2713;#N/A;1369;;;;;;https://ht.wikipedia.org/wiki/Jean_Price-Mars;3000
Q3438996;https://en.wikipedia.org/wiki/Roger_Gaillard_(historian);https://fr.wikipedia.org/wiki/Roger_Gaillard_(historien_ha%C3%AFtien);https://ht.wikipedia.org/wiki/Roger_Gaillard;1850;3191;1624;;;;;;https://ht.wikipedia.org/wiki/Wiener_Kerns_Fleurimond;5658
Q1356852;https://en.wikipedia.org/wiki/Jacques_Roumain;https://fr.wikipedia.org/wiki/Jacques_Roumain;https://ht.wikipedia.org/wiki/Jacques_Roumain;8981;10198;7845;;;;;;https://en.wikipedia.org/wiki/Gary_Klang;7800
Q3045906;https://en.wikipedia.org/wiki/%C3%89mile_Roumer;https://fr.wikipedia.org/wiki/%C3%89mile_Roumer;https://ht.wikipedia.org/wiki/%C3%89mile_Roumer;1671;5529;1841;;;;;;https://fr.wikipedia.org/wiki/Gary_Klang;10270
Q18528616;https://en.wikipedia.org/wiki/Odette_Roy_Fombrun;;https://ht.wikipedia.org/wiki/Odette_Roy_Fombrun;3812;#N/A;4983;;;;;;https://ht.wikipedia.org/wiki/Gary_Klang;6712
Q3048259;https://en.wikipedia.org/wiki/Edris_Saint-Amand;https://fr.wikipedia.org/wiki/Edris_Saint-Amand;https://ht.wikipedia.org/wiki/Edris_Saint-Amand;1123;4911;831;;;;;;https://ht.wikipedia.org/wiki/Rassoul_Labuchin;1293
Q3438235;https://en.wikipedia.org/wiki/Rodney_Saint-%C3%89loi;https://fr.wikipedia.org/wiki/Rodney_Saint-%C3%89loi;https://ht.wikipedia.org/wiki/Rodney_Saint-%C3%89loi;2505;6059;1185;;;;;;https://en.wikipedia.org/wiki/Dany_Laferri%C3%A8re;9653
Q26252340;;https://fr.wikipedia.org/wiki/Jacqueline_Scott-Lemoine;https://ht.wikipedia.org/wiki/Jacqueline_Scott-Lemoine;#N/A;7059;805;;;;;;https://fr.wikipedia.org/wiki/Dany_Laferri%C3%A8re;42313
Q3301423;https://en.wikipedia.org/wiki/Maurice_Sixto;https://fr.wikipedia.org/wiki/Maurice_Sixto;https://ht.wikipedia.org/wiki/Maurice_Sixto;3745;2676;5312;;;;;;https://ht.wikipedia.org/wiki/Dany_Laferri%C3%A8re;5774
Q55217215;;;;#N/A;#N/A;#N/A;;;;;;https://fr.wikipedia.org/wiki/Fred_Edson_Lafortune;7082
Q12890326;https://en.wikipedia.org/wiki/Elsie_Sur%C3%A9na;;https://ht.wikipedia.org/wiki/Elsie_Surena;3380;#N/A;1367;;;;;;https://ht.wikipedia.org/wiki/Fred_Edson_Lafortune;3745
Q12897540;https://en.wikipedia.org/wiki/Suzanne_Comhaire-Sylvain;https://fr.wikipedia.org/wiki/Suzanne_Comhaire-Sylvain;https://ht.wikipedia.org/wiki/Suzanne_Comhaire-Sylvain;9945;9430;4730;;;;;;https://ht.wikipedia.org/wiki/Alex_Laguerre;2306
Q3162015;;https://fr.wikipedia.org/wiki/Janine_Tavernier;;#N/A;4916;#N/A;;;;;;https://en.wikipedia.org/wiki/Yanick_Lahens;5379
Q12894088;https://en.wikipedia.org/wiki/Marie-Alice_Th%C3%A9ard;;https://ht.wikipedia.org/wiki/Marie-Alice_Th%C3%A9ard;2493;#N/A;1206;;;;;;https://fr.wikipedia.org/wiki/Yanick_Lahens;11442
Q3380772;https://en.wikipedia.org/wiki/Philippe_Thoby-Marcelin;https://fr.wikipedia.org/wiki/Philippe_Thoby-Marcelin;https://ht.wikipedia.org/wiki/Philippe_Thoby-Marcelin;4153;4802;843;;;;;;https://ht.wikipedia.org/wiki/Yanick_Lahens;3834
Q12890535;https://en.wikipedia.org/wiki/%C3%89velyne_Trouillot;https://fr.wikipedia.org/wiki/%C3%89velyne_Trouillot;https://ht.wikipedia.org/wiki/%C3%89velyne_Trouillot;4853;5739;2448;;;;;;https://fr.wikipedia.org/wiki/Paul_Laraque;2267
Q637689;https://en.wikipedia.org/wiki/Lyonel_Trouillot;https://fr.wikipedia.org/wiki/Lyonel_Trouillot;https://ht.wikipedia.org/wiki/Lyonel_Trouillot;6134;10179;7938;;;;;;https://ht.wikipedia.org/wiki/Paul_Laraque;808
Q3098632;https://en.wikipedia.org/wiki/Gary_Victor;https://fr.wikipedia.org/wiki/Gary_Victor;https://ht.wikipedia.org/wiki/Gary_Victor;3821;8831;5718;;;;;;https://en.wikipedia.org/wiki/Josaphat-Robert_Large;10673
Q3292853;https://en.wikipedia.org/wiki/Marie_Vieux_Chauvet;https://fr.wikipedia.org/wiki/Marie_Vieux-Chauvet;https://ht.wikipedia.org/wiki/Marie_Vieux-Chauvet;7036;5583;9522;;;;;;https://fr.wikipedia.org/wiki/Josaphat-Robert_Large;10083
Q18461233;;;https://ht.wikipedia.org/wiki/Mich%C3%A8le_Voltaire-Marcelin;#N/A;#N/A;895;;;;;;https://ht.wikipedia.org/wiki/Josaphat-Robert_Large;7217
Q3059438;https://en.wikipedia.org/wiki/Etzer_Vilaire;https://fr.wikipedia.org/wiki/Etzer_Vilaire;https://ht.wikipedia.org/wiki/Etzer_Vilaire;1834;3732;3404;;;;;;https://ht.wikipedia.org/wiki/Marc_Laroche;1907
Q18808886;https://en.wikipedia.org/wiki/Assotto_Saint;;;6919;#N/A;#N/A;;;;;;https://fr.wikipedia.org/wiki/Maximilien_Laroche;31447
Q2837287;https://en.wikipedia.org/wiki/Alix_Mathon;https://fr.wikipedia.org/wiki/Alix_Mathon;https://ht.wikipedia.org/wiki/Alix_Mathon;1586;5040;853;;;;;;https://ht.wikipedia.org/wiki/Maximilien_Laroche;11529
Q6169086;https://en.wikipedia.org/wiki/Jean-Claude_Bajeux;https://fr.wikipedia.org/wiki/Jean-Claude_Bajeux;https://ht.wikipedia.org/wiki/Jean-Claude_Bajeux;13483;7730;1284;;;;;;https://ht.wikipedia.org/wiki/Denize_Lauture;1176
Q18214907;;https://fr.wikipedia.org/wiki/Dominique_Hippolyte;;#N/A;4919;#N/A;;;;;;https://fr.wikipedia.org/wiki/Coutech%C3%A8ve_Lavoie_Aupont;3693
Q16946741;https://en.wikipedia.org/wiki/Kern_Delince;;https://ht.wikipedia.org/wiki/Kern_Delince;9642;#N/A;795;;;;;;https://ht.wikipedia.org/wiki/Coutech%C3%A8ve_Lavoie_Aupont;1967
Q15783722;;;;#N/A;#N/A;#N/A;;;;;;https://ht.wikipedia.org/wiki/Frantz_Leconte;1061
Q18396644;;https://fr.wikipedia.org/wiki/Maurice_Cadet;https://ht.wikipedia.org/wiki/Maurice_Cadet;#N/A;6082;4407;;;;;;https://fr.wikipedia.org/wiki/Serge_Legagneur;3901
Q3159899;https://en.wikipedia.org/wiki/Jacques_Roche;https://fr.wikipedia.org/wiki/Jacques_Roche;https://ht.wikipedia.org/wiki/Jacques_Roche;9959;2539;801;;;;;;https://ht.wikipedia.org/wiki/Serge_Legagneur;1372
Q470492;https://en.wikipedia.org/wiki/Leslie_Manigat;https://fr.wikipedia.org/wiki/Leslie_Manigat;https://ht.wikipedia.org/wiki/Leslie_Manigat;6205;9822;1389;;;;;;https://en.wikipedia.org/wiki/Leon_Laleau;3468
Q886213;https://en.wikipedia.org/wiki/St%C3%A9nio_Vincent;https://fr.wikipedia.org/wiki/St%C3%A9nio_Vincent;https://ht.wikipedia.org/wiki/St%C3%A9nio_Vincent;5079;12736;1585;;;;;;https://fr.wikipedia.org/wiki/L%C3%A9on_Laleau;4137
Q3709714;https://en.wikipedia.org/wiki/Nemours_Jean-Baptiste;;https://ht.wikipedia.org/wiki/Nemours_Jean_Baptiste;3230;#N/A;2119;;;;;;https://ht.wikipedia.org/wiki/L%C3%A9on_Laleau;1442
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Jean-Robert_L%C3%A9onidas;7062
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Jean-Robert_L%C3%A9onidas;6381
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Nadine_Magloire;2232
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Cl%C3%A9ment_Magloire-Saint-Aude;3742
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Cl%C3%A9ment_Magloire-Saint-Aude;1060
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Angelucci_Manigat,_Jr.;795
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Kettly_Mars;9651
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Kettly_Mars;6812
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Kettly_Mars;4034
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Stephane_Martelly;3060
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Martha_Jean-Claude;3820
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Martha_Jean-Claude;2163
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Marie-S%C5%93urette_Mathieu;2663
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Marie-S%C5%93urette_Mathieu;6796
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Marie-S%C5%93urette_Mathieu;2174
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Rodolphe_Mathurin;3884
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Elvire_Maurouard;3895
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Jean_Metellus;2833
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Jean_M%C3%A9tellus;8799
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Jean_Metellus;4450
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Emeline_Michel;2034
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/%C3%89meline_Michel;13575
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Emeline_Michel;3647
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Jean-Euph%C3%A8le_Milc%C3%A9;6150
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Jean-Euph%C3%A8le_Milc%C3%A9;2145
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Lenelle_Mo%C3%AFse;4600
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Lenelle_Mo%C3%AFse;1500
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Michel_Monnin;1205
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Roland_Morisseau;737
;;;;;;;;;;;;https://en.wikipedia.org/wiki/F%C3%A9lix_Morisseau-Leroy;8296
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/F%C3%A9lix_Morisseau-Leroy;5539
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Felix_Morisseau-Leroy;1838
;;;;;;;;;;;;https://en.wikipedia.org/wiki/James_No%C3%ABl_(poet);2784
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/James_No%C3%ABl;12200
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/James_No%C3%ABl;4469
;;;;;;;;;;;;https://en.wikipedia.org/wiki/%C3%89mile_Ollivier;18163
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/%C3%89mile_Ollivier_(homme_politique);22479
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Makenzy_Orcel;5100
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Makenzy_Orcel;3243
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Il%C3%A9us_Papillon;4022
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Il%C3%A9us_Papillon;3860
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Margaret_Papillon;1104
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Roland_Paret;1186
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Fabienne_Pasquet;952
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Jean-Marc_Pasquet;737
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Cauvin_Paul;829
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Stanley_P%C3%A9an;14474
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Stanley_P%C3%A9an;3516
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Anthony_Phelps;16675
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Anthony_Phelps;13349
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Ren%C3%A9_Philoct%C3%A8te;1651
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Ren%C3%A9_Philoct%C3%A8te;5570
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Ren%C3%A9_Philoct%C3%A8te;3188
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Claude_C._Pierre;3999
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Claude_Pierre;2772
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Paulette_Poujol-Oriol;8460
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Paulette_Poujol_Oriol;1566
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Emmelie_Proph%C3%A8te;2360
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Emmelie_Proph%C3%A8te;4337
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Emmelie_Proph%C3%A8te;2597
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Guy_Junior_R%C3%A9gis;15312
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Guy_Junior_R%C3%A9gis;2706
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Alix_Renaud;13126
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Alix_Renaud;3952
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Marl%C3%A8ne_Rigaud_Apollon;2713
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Marl%C3%A8ne_Rigaud_Apollon;1369
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Roger_Gaillard_(historian);1850
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Roger_Gaillard_(historien_ha%C3%AFtien);3191
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Roger_Gaillard;1624
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Jacques_Roumain;8981
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Jacques_Roumain;10198
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Jacques_Roumain;7845
;;;;;;;;;;;;https://en.wikipedia.org/wiki/%C3%89mile_Roumer;1671
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/%C3%89mile_Roumer;5529
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/%C3%89mile_Roumer;1841
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Odette_Roy_Fombrun;3812
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Odette_Roy_Fombrun;4983
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Edris_Saint-Amand;1123
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Edris_Saint-Amand;4911
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Edris_Saint-Amand;831
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Rodney_Saint-%C3%89loi;2505
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Rodney_Saint-%C3%89loi;6059
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Rodney_Saint-%C3%89loi;1185
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Jacqueline_Scott-Lemoine;7059
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Jacqueline_Scott-Lemoine;805
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Maurice_Sixto;3745
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Maurice_Sixto;2676
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Maurice_Sixto;5312
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Elsie_Sur%C3%A9na;3380
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Elsie_Surena;1367
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Suzanne_Comhaire-Sylvain;9945
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Suzanne_Comhaire-Sylvain;9430
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Suzanne_Comhaire-Sylvain;4730
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Janine_Tavernier;4916
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Marie-Alice_Th%C3%A9ard;2493
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Marie-Alice_Th%C3%A9ard;1206
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Philippe_Thoby-Marcelin;4153
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Philippe_Thoby-Marcelin;4802
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Philippe_Thoby-Marcelin;843
;;;;;;;;;;;;https://en.wikipedia.org/wiki/%C3%89velyne_Trouillot;4853
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/%C3%89velyne_Trouillot;5739
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/%C3%89velyne_Trouillot;2448
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Lyonel_Trouillot;6134
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Lyonel_Trouillot;10179
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Lyonel_Trouillot;7938
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Gary_Victor;3821
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Gary_Victor;8831
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Gary_Victor;5718
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Marie_Vieux_Chauvet;7036
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Marie_Vieux-Chauvet;5583
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Marie_Vieux-Chauvet;9522
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Mich%C3%A8le_Voltaire-Marcelin;895
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Etzer_Vilaire;1834
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Etzer_Vilaire;3732
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Etzer_Vilaire;3404
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Assotto_Saint;6919
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Alix_Mathon;1586
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Alix_Mathon;5040
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Alix_Mathon;853
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Jean-Claude_Bajeux;13483
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Jean-Claude_Bajeux;7730
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Jean-Claude_Bajeux;1284
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Dominique_Hippolyte;4919
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Kern_Delince;9642
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Kern_Delince;795
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Maurice_Cadet;6082
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Maurice_Cadet;4407
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Jacques_Roche;9959
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Jacques_Roche;2539
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Jacques_Roche;801
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Leslie_Manigat;6205
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Leslie_Manigat;9822
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Leslie_Manigat;1389
;;;;;;;;;;;;https://en.wikipedia.org/wiki/St%C3%A9nio_Vincent;5079
;;;;;;;;;;;;https://fr.wikipedia.org/wiki/St%C3%A9nio_Vincent;12736
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/St%C3%A9nio_Vincent;1585
;;;;;;;;;;;;https://en.wikipedia.org/wiki/Nemours_Jean-Baptiste;3230
;;;;;;;;;;;;https://ht.wikipedia.org/wiki/Nemours_Jean_Baptiste;2119
