;?Nom;Wiki_ID;Nom;normalized;wikipage_fr;wikipage_en;wikipage_ht;wikipage_fr_len;wikipage_ht_len;wikipage_en_len;;;;;;;;;;
116;Josaphat-Robert Large;Q531431;Josaphat-Robert Large;Josaphat-Robert_Large;https://fr.wikipedia.org/wiki/Josaphat-Robert_Large;https://en.wikipedia.org/wiki/Josaphat-Robert_Large;https://ht.wikipedia.org/wiki/Josaphat-Robert_Large;10083,00;7217,00;10673,00;;;;;;;;;;
117;;;;;;;;;;;;;;;;;;;;
118;Nadine Magloire;Q47571408;Nadine Magloire;Nadine_Magloire;;https://en.wikipedia.org/wiki/Nadine_Magloire;;;;2232,00;;;;;;;;;;
119;Fabienne Pasquet;Q12890543;Fabienne Pasquet;Fabienne_Pasquet;;;https://ht.wikipedia.org/wiki/Fabienne_Pasquet;;952,00;;;;;;;;;;;
120;Edgard Gousse;Q55725389;Edgard Gousse;Edgard_Gousse;;;;;;;;;;;;;;;;
121;Saint-John Kauss;Q55217152;Saint-John Kauss;Saint-John_Kauss;;;;;;;;;;;;;;;;
122;Myriam J. M. Chancy;Q18631149;Myriam J. M. Chancy;Myriam_J._M._Chancy;;https://en.wikipedia.org/wiki/Myriam_J._A._Chancy;;;;5868,00;;;;;;;;;;
123;Paul Laraque;Q3371635;Paul Laraque;Paul_Laraque;https://fr.wikipedia.org/wiki/Paul_Laraque;;https://ht.wikipedia.org/wiki/Paul_Laraque;2267,00;808,00;;;;;;;;;;;
124;Roussan Camille;Q953097;Roussan Camille;Roussan_Camille;https://fr.wikipedia.org/wiki/Roussan_Camille;https://en.wikipedia.org/wiki/Roussan_Camille;https://ht.wikipedia.org/wiki/Roussan_Camille;4170,00;783,00;3459,00;;;;;;;;;;
125;Fernand Hibbert;Q2368727;Fernand Hibbert;Fernand_Hibbert;https://fr.wikipedia.org/wiki/Fernand_Hibbert;https://en.wikipedia.org/wiki/Fernand_Hibbert;https://ht.wikipedia.org/wiki/Fernand_Hibbert;5484,00;850,00;2035,00;;;;;;;;;;
126;;;;;;;;;;;;;;;;;;;;
127;Justin LhÃ©risson;Q3190467;Justin Lhérisson;Justin_Lhérisson;https://fr.wikipedia.org/wiki/Justin_Lh%C3%A9risson;https://en.wikipedia.org/wiki/Justin_Lh%C3%A9risson;https://ht.wikipedia.org/wiki/Justin_Lh%C3%A9risson;5188,00;2909,00;2318,00;;;;;;;;;;
128;Nassur Attoumani;Q3336266;Nassur Attoumani;Nassur_Attoumani;https://fr.wikipedia.org/wiki/Nassur_Attoumani;;https://ht.wikipedia.org/wiki/Nassur_Attoumani;8732,00;2963,00;;;;;;;;;;;
129;Jean-Robert LÃ©onidas;Q3169950;Jean-Robert Léonidas;Jean-Robert_Léonidas;https://fr.wikipedia.org/wiki/Jean-Robert_L%C3%A9onidas;;https://ht.wikipedia.org/wiki/Jean-Robert_L%C3%A9onidas;7062,00;6381,00;;;;;;;;;;;
130;Michel Monnin;Q6836494;Michel Monnin;Michel_Monnin;;https://en.wikipedia.org/wiki/Michel_Monnin;;;;1205,00;;;;;;;;;;
131;Wiener Kerns Fleurimond;Q12898302;Wiener Kerns Fleurimond;Wiener_Kerns_Fleurimond;;;https://ht.wikipedia.org/wiki/Wiener_Kerns_Fleurimond;;5658,00;;;;;;;;;;;
132;Louis-Philippe Dalembert;Q1315386;Louis-Philippe Dalembert;Louis-Philippe_Dalembert;https://fr.wikipedia.org/wiki/Louis-Philippe_Dalembert;https://en.wikipedia.org/wiki/Louis-Philippe_Dalembert;https://ht.wikipedia.org/wiki/Louis-Philippe_Dalembert;10839,00;7983,00;7814,00;;;;;;;;;;
133;;;;;;;;;;;;;;;;;;;;
134;Jeanie Bogart;Q55217166;Jeanie Bogart;Jeanie_Bogart;;;;;;;;;;;;;;;;
135;Georges Sylvain;Q428334;Georges Sylvain;Georges_Sylvain;https://fr.wikipedia.org/wiki/Georges_Sylvain;https://en.wikipedia.org/wiki/Georges_Sylvain;https://ht.wikipedia.org/wiki/Georges_Sylvain;4556,00;1827,00;2460,00;;;;;;;;;;
136;;;;;;;;;;;;;;;;;;;;
137;Marie-Alice ThÃ©ard;Q12894088;Marie-Alice Théard;Marie-Alice_Théard;;https://en.wikipedia.org/wiki/Marie-Alice_Th%C3%A9ard;https://ht.wikipedia.org/wiki/Marie-Alice_Th%C3%A9ard;;1206,00;2493,00;;;;;;;;;;
138;Cécile Accilien;;Cécile Accilien;Cécile_Accilien;;;;;;;;;;;;;;;;
139;Rassoul Labuchin;Q12896004;Rassoul Labuchin;Rassoul_Labuchin;;;https://ht.wikipedia.org/wiki/Rassoul_Labuchin;;1293,00;;;;;;;;;;;
140;Ã‰mile CÃ©lestin-MÃ©gie;Q12890350;Ã‰mile CÃ©lestin-MÃ©gie;Ã‰Mile_Cã©Lestin-Mã©Gie;https://fr.wikipedia.org/wiki/%C3%89mile_C%C3%A9lestin-M%C3%A9gie;;https://ht.wikipedia.org/wiki/%C3%89mile_C%C3%A9lestin-M%C3%A9gie;3871,00;1646,00;;;;;;;;;;;
141;;;;;;;;;;;;;;;;;;;;
142;Jean-Fernand Brierre;Q3165387;Jean-Fernand Brierre;Jean-Fernand_Brierre;https://fr.wikipedia.org/wiki/Jean-Fernand_Brierre;https://en.wikipedia.org/wiki/Jean-Fernand_Brierre;https://ht.wikipedia.org/wiki/Jean-Fernand_Brierre;6832,00;1151,00;4618,00;;;;;;;;;;
143;Alix Renaud;Q2837289;Alix Renaud;Alix_Renaud;https://fr.wikipedia.org/wiki/Alix_Renaud;;https://ht.wikipedia.org/wiki/Alix_Renaud;13126,00;3952,00;;;;;;;;;;;
144;Barbara Bastien;Q88413613;Barbara Bastien;Barbara_Bastien;;;;;;;;;;;;;;;;
145;Villard Denis;Q7930927;Villard Denis;Villard_Denis;;https://en.wikipedia.org/wiki/Villard_Denis;https://ht.wikipedia.org/wiki/Davertige;;823,00;1898,00;;;;;;;;;;
146;Jacqueline Scott-Lemoine;Q26252340;Jacqueline Scott-Lemoine;Jacqueline_Scott-Lemoine;https://fr.wikipedia.org/wiki/Jacqueline_Scott-Lemoine;;https://ht.wikipedia.org/wiki/Jacqueline_Scott-Lemoine;7059,00;805,00;;;;;;;;;;;
147;Michele Cazanove;;Michele Cazanove;Michele_Cazanove;;;;;;;;;;;;;;;;
148;Maximilien Laroche;Q18926023;Maximilien Laroche;Maximilien_Laroche;https://fr.wikipedia.org/wiki/Maximilien_Laroche;;https://ht.wikipedia.org/wiki/Maximilien_Laroche;31447,00;11529,00;;;;;;;;;;;
149;Willems Edouard;;Willems Edouard;Willems_Edouard;;;;;;;;;;;;;;;;
150;Joanne Hyppolite;Q16946660;Joanne Hyppolite;Joanne_Hyppolite;;;https://ht.wikipedia.org/wiki/Joanne_Hyppolite;;755,00;;;;;;;;;;;
151;Emmanuel Buriez;Q39738159;Emmanuel Buriez;Emmanuel_Buriez;;;https://ht.wikipedia.org/wiki/Emmanuel_Buriez;;2749,00;;;;;;;;;;;
152;;;;;;;;;;;;;;;;;;;;
153;;;;;;;;;;;;;;;;;;;;
154;Lawrence Hill;Q3828146;Lawrence Hill;Lawrence_Hill;https://fr.wikipedia.org/wiki/Lawrence_Hill_(basket-ball);;;3217,00;;;;;;;;;;;;
155;;;;;;;;;;;;;;;;;;;;
156;Elvire Maurouard;Q12890330;Elvire Maurouard;Elvire_Maurouard;;;https://ht.wikipedia.org/wiki/Elvire_Maurouard;;3895,00;;;;;;;;;;;
157;Boisrond-Tonnerre;Q940025;Boisrond-Tonnerre;Boisrond-Tonnerre;https://fr.wikipedia.org/wiki/Louis_Boisrond_Tonnerre;https://en.wikipedia.org/wiki/Boisrond-Tonnerre;https://ht.wikipedia.org/wiki/Louis_Boisrond-Tonnerre;3683,00;1714,00;3432,00;;;;;;;;;;
158;Ida Faubert;Q3147761;Ida Faubert;Ida_Faubert;https://fr.wikipedia.org/wiki/Ida_Faubert;https://en.wikipedia.org/wiki/Ida_Faubert;https://ht.wikipedia.org/wiki/Ida_Faubert;3912,00;3223,00;9993,00;;;;;;;;;;
159;Rodianco Fils Azor;;Rodianco Fils Azor;Rodianco_Fils_Azor;;;;;;;;;;;;;;;;
160;Cauvin Paul;Q12888685;Cauvin Paul;Cauvin_Paul;;;https://ht.wikipedia.org/wiki/Cauvin_Paul;;829,00;;;;;;;;;;;
161;Edwidge Danticat;Q450346;Edwidge Danticat;Edwidge_Danticat;https://fr.wikipedia.org/wiki/Edwidge_Danticat;https://en.wikipedia.org/wiki/Edwidge_Danticat;https://ht.wikipedia.org/wiki/Edwidge_Danticat;6676,00;1157,00;31591,00;;;;;;;;;;
162;;;;;;;;;;;;;;;;;;;;
163;Henry Kenol;;Henry Kenol;Henry_Kenol;;;;;;;;;;;;;;;;
164;Soeuf Elbadawi;Q3488805;Soeuf Elbadawi;Soeuf_Elbadawi;https://fr.wikipedia.org/wiki/Soeuf_Elbadawi;;https://ht.wikipedia.org/wiki/Soeuf_Elbadawi;12493,00;1029,00;;;;;;;;;;;
165;Dimitri Elias Léger;;Dimitri Elias Léger;Dimitri_Elias_Léger;;;;;;;;;;;;;;;;
166;Maggy Belin Biais;Q79392218;Maggy Belin Biais;Maggy_Belin_Biais;;;;;;;;;;;;;;;;
167;Maguy-D Jean;;Maguy-D Jean;Maguy-D_Jean;;;;;;;;;;;;;;;;
168;Anderson Dovilas;Q55217151;Anderson Dovilas;Anderson_Dovilas;;;;;;;;;;;;;;;;
169;Rafaël Lucas;;Rafaël Lucas;Rafaël_Lucas;;;;;;;;;;;;;;;;
170;Anthony Phelps;Q2852916;Anthony Phelps;Anthony_Phelps;https://fr.wikipedia.org/wiki/Anthony_Phelps;;https://ht.wikipedia.org/wiki/Anthony_Phelps;16675,00;13349,00;;;;;;;;;;;
171;Michel Bertrand;Q3309004;Michel Bertrand;Michel_Bertrand;https://fr.wikipedia.org/wiki/Michel_Bertrand_(m%C3%A9decin);;;3045,00;;;;;;;;;;;;
172;Marc Exavier;Q18341492;Marc Exavier;Marc_Exavier;;;https://ht.wikipedia.org/wiki/Marc_Exavier;;804,00;;;;;;;;;;;
173;Sophia DÃ©sir;Q18627792;Sophia Désir;Sophia_Désir;;;https://ht.wikipedia.org/wiki/Sophia_D%C3%A9sir;;3665,00;;;;;;;;;;;
174;Marie-SÅ“urette Mathieu;Q468040;Marie-SÅ“urette Mathieu;Marie-Så“Urette_Mathieu;https://fr.wikipedia.org/wiki/Marie-S%C5%93urette_Mathieu;https://en.wikipedia.org/wiki/Marie-S%C5%93urette_Mathieu;https://ht.wikipedia.org/wiki/Marie-S%C5%93urette_Mathieu;6796,00;2174,00;2663,00;;;;;;;;;;
175;Alex Laguerre;Q12887205;Alex Laguerre;Alex_Laguerre;;;https://ht.wikipedia.org/wiki/Alex_Laguerre;;2306,00;;;;;;;;;;;
176;Mehdi Chalmers;;Mehdi Chalmers;Mehdi_Chalmers;;;;;;;;;;;;;;;;
177;Yanick François;;Yanick François;Yanick_François;;;;;;;;;;;;;;;;
178;Verly Dabel;Q18084484;Verly Dabel;Verly_Dabel;;;https://ht.wikipedia.org/wiki/Verly_Dabel;;2179,00;;;;;;;;;;;
179;Paulette Poujol Oriol;Q12895266;Paulette Poujol Oriol;Paulette_Poujol_Oriol;;https://en.wikipedia.org/wiki/Paulette_Poujol-Oriol;https://ht.wikipedia.org/wiki/Paulette_Poujol_Oriol;;1566,00;8460,00;;;;;;;;;;
180;Jacques Rey Charlier;Q79392504;Jacques Rey Charlier;Jacques_Rey_Charlier;;;;;;;;;;;;;;;;
181;Etzer Vilaire;Q3059438;Etzer Vilaire;Etzer_Vilaire;https://fr.wikipedia.org/wiki/Etzer_Vilaire;https://en.wikipedia.org/wiki/Etzer_Vilaire;https://ht.wikipedia.org/wiki/Etzer_Vilaire;3732,00;3404,00;1834,00;;;;;;;;;;
182;Abdou Baco;Q4665140;Abdou Baco;Abdou_Baco;;https://en.wikipedia.org/wiki/Abdou_Baco;https://ht.wikipedia.org/wiki/Abdou_Baco;;691,00;1995,00;;;;;;;;;;
183;Max Dorsinville;Q18412231;Max Dorsinville;Max_Dorsinville;;;https://ht.wikipedia.org/wiki/Max_Dorsinville;;1415,00;;;;;;;;;;;
184;Robert M. Berrouët-Oriol ;;Robert M. Berrouët-Oriol ;Robert_M._Berrouët-Oriol;;;;;;;;;;;;;;;;
185;Jacques Stephen Alexis;Q3031679;Jacques Stephen Alexis;Jacques_Stephen_Alexis;https://fr.wikipedia.org/wiki/Jacques_Stephen_Alexis;https://en.wikipedia.org/wiki/Jacques_Stephen_Alexis;https://ht.wikipedia.org/wiki/Jacques-Stephen_Alexis;11864,00;7592,00;6039,00;;;;;;;;;;
186;Emeric Bergeaud;Q3052174;Emeric Bergeaud;Emeric_Bergeaud;https://fr.wikipedia.org/wiki/%C3%89meric_Bergeaud;https://en.wikipedia.org/wiki/Emeric_Bergeaud;https://ht.wikipedia.org/wiki/Emeric_Bergeaud;2637,00;1919,00;2253,00;;;;;;;;;;
187;Mona GuÃ©rin;Q12894528;Mona Guérin;Mona_Guérin;;https://en.wikipedia.org/wiki/Mona_Gu%C3%A9rin;https://ht.wikipedia.org/wiki/Mona_Gu%C3%A9rin;;2810,00;2977,00;;;;;;;;;;
188;Margaret Papillon;Q12894055;Margaret Papillon;Margaret_Papillon;;;https://ht.wikipedia.org/wiki/Margaret_Papillon;;1104,00;;;;;;;;;;;
189;Leslie Gaelle Nerette;;Leslie Gaelle Nerette;Leslie_Gaelle_Nerette;;;;;;;;;;;;;;;;
190;James NoeÍ?Ìˆl;Q3161308;James NoeÍ?Ìˆl;James_Noeí?ÌˆL;https://fr.wikipedia.org/wiki/James_No%C3%ABl;https://en.wikipedia.org/wiki/James_No%C3%ABl_(poet);https://ht.wikipedia.org/wiki/James_No%C3%ABl;12200,00;4469,00;2784,00;;;;;;;;;;
191;Martine Milard ;;Martine Milard ;Martine_Milard;;;;;;;;;;;;;;;;
192;Johnie Hilaire;;Johnie Hilaire;Johnie_Hilaire;;;;;;;;;;;;;;;;
193;Ketline Adodo;;Ketline Adodo;Ketline_Adodo;;;;;;;;;;;;;;;;
194;Lilas Desquiron;Q12893500;Lilas Desquiron;Lilas_Desquiron;;https://en.wikipedia.org/wiki/Lilas_Desquiron;https://ht.wikipedia.org/wiki/Lilas_Desquiron;;804,00;1665,00;;;;;;;;;;
195;Jean Watson Charles;;Jean Watson Charles;Jean_Watson_Charles;;;;;;;;;;;;;;;;
196;Jacques Roumain;Q1356852;Jacques Roumain;Jacques_Roumain;https://fr.wikipedia.org/wiki/Jacques_Roumain;https://en.wikipedia.org/wiki/Jacques_Roumain;https://ht.wikipedia.org/wiki/Jacques_Roumain;10198,00;7845,00;8954,00;;;;;;;;;;
197;ClÃ©ment Magloire-Saint-Aude;Q2980637;Clément Magloire-Saint-Aude;Clément_Magloire-Saint-Aude;https://fr.wikipedia.org/wiki/Cl%C3%A9ment_Magloire-Saint-Aude;;https://ht.wikipedia.org/wiki/Cl%C3%A9ment_Magloire-Saint-Aude;3345,00;1060,00;;;;;;;;;;;
198;Richardson Dorvil;;Richardson Dorvil;Richardson_Dorvil;;;;;;;;;;;;;;;;
199;Franck FouchÃ©;Q12890741;Franck Fouché;Franck_Fouché;;;https://ht.wikipedia.org/wiki/Franck_Fouch%C3%A9;;820,00;;;;;;;;;;;
200;Christie Binette;;Christie Binette;Christie_Binette;;;;;;;;;;;;;;;;
201;Suzanne Comhaire-Sylvain;Q12897540;Suzanne Comhaire-Sylvain;Suzanne_Comhaire-Sylvain;https://fr.wikipedia.org/wiki/Suzanne_Comhaire-Sylvain;https://en.wikipedia.org/wiki/Suzanne_Comhaire-Sylvain;https://ht.wikipedia.org/wiki/Suzanne_Comhaire-Sylvain;9430,00;4730,00;9945,00;;;;;;;;;;
202;Mayotte CapÃ©cia;Q18421742;Mayotte Capécia;Mayotte_Capécia;;;https://ht.wikipedia.org/wiki/Mayotte_Cap%C3%A9cia;;1063,00;;;;;;;;;;;
203;Maurice CassÃ©us;Q12894241;Maurice Casséus;Maurice_Casséus;;;https://ht.wikipedia.org/wiki/Maurice_Cass%C3%A9us;;853,00;;;;;;;;;;;
204;Jules Bellerice;Q12892188;Jules Bellerice;Jules_Bellerice;;;https://ht.wikipedia.org/wiki/Jules_Bellerice;;789,00;;;;;;;;;;;
205;Jean-Baptiste CinÃ©as;Q3163957;Jean-Baptiste Cinéas;Jean-Baptiste_Cinéas;https://fr.wikipedia.org/wiki/Jean-Baptiste_Cin%C3%A9as;https://en.wikipedia.org/wiki/Jean-Baptiste_Cin%C3%A9as;https://ht.wikipedia.org/wiki/Jean-Baptiste_Cin%C3%A9as;4052,00;1868,00;1528,00;;;;;;;;;;
206;Pierre Clitandre;Q18555690;Pierre Clitandre;Pierre_Clitandre;;;https://ht.wikipedia.org/wiki/Pierre_Clitandre;;2228,00;;;;;;;;;;;
207;Jean D'AmÃ©rique;Q47087234;Jean D'Amérique;Jean_D'Amérique;https://fr.wikipedia.org/wiki/Jean_D%27Am%C3%A9rique;;;6339,00;;;;;;;;;;;;
208;Joelle Constantin;Q91207438;Joelle Constantin;Joelle_Constantin;;;;;;;;;;;;;;;;
209;Fednel Alexandre;;Fednel Alexandre;Fednel_Alexandre;;;;;;;;;;;;;;;;
210;Lucien Lemoine;Q26252366;Lucien Lemoine;Lucien_Lemoine;;;;;;;;;;;;;;;;
211;Charles Edward Caplife;Q12888836;Charles Edward Caplife;Charles_Edward_Caplife;;;https://ht.wikipedia.org/wiki/Charles_Edward_Caplife;;1072,00;;;;;;;;;;;
212;Elsie Augustave;Q19663803;Elsie Augustave;Elsie_Augustave;;https://en.wikipedia.org/wiki/Elsie_Augustave;https://ht.wikipedia.org/wiki/Elsie_Augustave;;1001,00;3348,00;;;;;;;;;;
213;Philippe Thoby-Marcelin;Q3380772;Philippe Thoby-Marcelin;Philippe_Thoby-Marcelin;https://fr.wikipedia.org/wiki/Philippe_Thoby-Marcelin;https://en.wikipedia.org/wiki/Philippe_Thoby-Marcelin;https://ht.wikipedia.org/wiki/Philippe_Thoby-Marcelin;4802,00;843,00;4153,00;;;;;;;;;;
214;Rhoddy Attilus;;Rhoddy Attilus;Rhoddy_Attilus;;;;;;;;;;;;;;;;
215;Claude C. Pierre;Q2977119;Claude C. Pierre;Claude_C._Pierre;https://fr.wikipedia.org/wiki/Claude_C._Pierre;;https://ht.wikipedia.org/wiki/Claude_Pierre;3999,00;2772,00;;;;;;;;;;;
216;Serge Legagneur;Q12897255;Serge Legagneur;Serge_Legagneur;https://fr.wikipedia.org/wiki/Serge_Legagneur;;https://ht.wikipedia.org/wiki/Serge_Legagneur;3901,00;1372,00;;;;;;;;;;;
217;RenÃ© Depestre;Q59581;René Depestre;René_Depestre;https://fr.wikipedia.org/wiki/Ren%C3%A9_Depestre;https://en.wikipedia.org/wiki/Ren%C3%A9_Depestre;https://ht.wikipedia.org/wiki/Ren%C3%A9_Depestre;18853,00;3657,00;15223,00;;;;;;;;;;
218;Mimi BarthÃ©lÃ©my;Q16266631;Mimi Barthélémy;Mimi_Barthélémy;https://fr.wikipedia.org/wiki/Mimi_Barth%C3%A9l%C3%A9my;https://en.wikipedia.org/wiki/Mimi_Barth%C3%A9l%C3%A9my;https://ht.wikipedia.org/wiki/Mimi_Barth%C3%A9l%C3%A9my;5485,00;7116,00;3441,00;;;;;;;;;;
219;Maurice Sixto;Q3301423;Maurice Sixto;Maurice_Sixto;https://fr.wikipedia.org/wiki/Maurice_Sixto;https://en.wikipedia.org/wiki/Maurice_Sixto;https://ht.wikipedia.org/wiki/Maurice_Sixto;2676,00;5312,00;3745,00;;;;;;;;;;
220;Romel Chery;Q20562029;Romel Chery;Romel_Chery;;;https://ht.wikipedia.org/wiki/Romel_Chery;;718,00;;;;;;;;;;;
221;Massillon Coicou;Q3297724;Massillon Coicou;Massillon_Coicou;https://fr.wikipedia.org/wiki/Massillon_Coicou;https://en.wikipedia.org/wiki/Massillon_Coicou;https://ht.wikipedia.org/wiki/Massillon_Coicou;5034,00;3256,00;8410,00;;;;;;;;;;
222;Jean-Claude FignolÃ©;Q3164963;Jean-Claude Fignolé;Jean-Claude_Fignolé;https://fr.wikipedia.org/wiki/Jean-Claude_Fignol%C3%A9;https://en.wikipedia.org/wiki/Jean-Claude_Fignol%C3%A9;https://ht.wikipedia.org/wiki/Jean-Claude_Fignol%C3%A9;4301,00;2785,00;1208,00;;;;;;;;;;
223;Duccha;Q16946096;Duccha;Duccha;;;https://ht.wikipedia.org/wiki/Duccha;;897,00;;;;;;;;;;;
224;Jean Billy Mondesir;;Jean Billy Mondesir;Jean_Billy_Mondesir;;;;;;;;;;;;;;;;
225;Jean Emmanuel Jacquet;Q96198910;Jean Emmanuel Jacquet;Jean_Emmanuel_Jacquet;https://fr.wikipedia.org/wiki/Jean_Emmanuel_Jacquet;;;5144,00;;;;;;;;;;;;
226;Ulysse Saint-Louis Mentor;;Ulysse Saint-Louis Mentor;Ulysse_Saint-Louis_Mentor;;;;;;;;;;;;;;;;
227;DenizÃ© Lauture;Q12889499;Denizé Lauture;Denizé_Lauture;;;https://ht.wikipedia.org/wiki/Denize_Lauture;;1176,00;;;;;;;;;;;
228;Guetty Felin;;Guetty Felin;Guetty_Felin;;;;;;;;;;;;;;;;
229;Giscard Bouchotte;;Giscard Bouchotte;Giscard_Bouchotte;;;;;;;;;;;;;;;;
230;Carl Brouard;Q2938879;Carl Brouard;Carl_Brouard;https://fr.wikipedia.org/wiki/Carl_Brouard;https://en.wikipedia.org/wiki/Carl_Brouard;https://ht.wikipedia.org/wiki/Carl_Brouard;4515,00;2066,00;2448,00;;;;;;;;;;
231;LaÃ«nnec Hurbon;Q16946779;Laënnec Hurbon;Laënnec_Hurbon;;https://en.wikipedia.org/wiki/La%C3%ABnnec_Hurbon;https://ht.wikipedia.org/wiki/La%C3%ABnnec_Hurbon;;1788,00;4622,00;;;;;;;;;;
232;Robert BerrouÃ«t-Oriol;Q55217164;Robert Berrouët-Oriol;Robert_Berrouët-Oriol;;;;;;;;;;;;;;;;
233;Stephen Alexis;Q3502258;Stephen Alexis;Stephen_Alexis;https://fr.wikipedia.org/wiki/St%C3%A9phen_Alexis;https://en.wikipedia.org/wiki/Stephen_Alexis;https://ht.wikipedia.org/wiki/Stephen_Alexis;4150,00;1688,00;1835,00;;;;;;;;;;
234;Lewis Ampidu Clorméus;;Lewis Ampidu Clorméus;Lewis_Ampidu_Clorméus;;;;;;;;;;;;;;;;
235;Emilio Merisier;;Emilio Merisier;Emilio_Merisier;;;;;;;;;;;;;;;;
236;Marie Vieux Chauvet;Q3292853;Marie Vieux Chauvet;Marie_Vieux_Chauvet;https://fr.wikipedia.org/wiki/Marie_Vieux-Chauvet;https://en.wikipedia.org/wiki/Marie_Vieux_Chauvet;https://ht.wikipedia.org/wiki/Marie_Vieux-Chauvet;5583,00;9522,00;7036,00;;;;;;;;;;
237;Obrillant Damus;;Obrillant Damus;Obrillant_Damus;;;;;;;;;;;;;;;;
238;Jacqueline BeaugÃ©-Rosier;Q3157670;Jacqueline Beaugé-Rosier;Jacqueline_Beaugé-Rosier;https://fr.wikipedia.org/wiki/Jacqueline_Beaug%C3%A9-Rosier;https://en.wikipedia.org/wiki/Jacqueline_Beaug%C3%A9-Rosier;https://ht.wikipedia.org/wiki/Jacqueline_Beaug%C3%A9-Rosier;3944,00;910,00;3206,00;;;;;;;;;;
239;Clervoyant Dieurat;;Clervoyant Dieurat;Clervoyant_Dieurat;;;;;;;;;;;;;;;;
240;MichÃ¨le Voltaire Marcelin;Q18461233;Michèle Voltaire Marcelin;Michèle_Voltaire_Marcelin;;;https://ht.wikipedia.org/wiki/Mich%C3%A8le_Voltaire-Marcelin;;895,00;;;;;;;;;;;
241;Emilie Franz;Q16946141;Emilie Franz;Emilie_Franz;;;https://ht.wikipedia.org/wiki/Emilie_Franz;;741,00;;;;;;;;;;;
242;Elie Fleurant;;Elie Fleurant;Elie_Fleurant;;;;;;;;;;;;;;;;
243;J.-P. Richard Narcisse;Q55217260;J.-P. Richard Narcisse;J.-P._Richard_Narcisse;;;;;;;;;;;;;;;;
244;Ange Bellie Andou;;Ange Bellie Andou;Ange_Bellie_Andou;;;;;;;;;;;;;;;;
245;Jean-Claude Charles;Q12891856;Jean-Claude Charles;Jean-Claude_Charles;;;https://ht.wikipedia.org/wiki/Jean-Claude_Charles;;812,00;;;;;;;;;;;
246;Janine Tavernier;Q3162015;Janine Tavernier;Janine_Tavernier;https://fr.wikipedia.org/wiki/Janine_Tavernier;;;4854,00;;;;;;;;;;;;
247;;;;;97;83;147;8203,97;2614,78;4944,43;;;;;;;;;;
